dataset,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met,awards_won,avg_training_score,is_promoted
train,51756,2,2,2,1,1,2,57,4,6,0,0,58,0
train,57011,4,22,2,1,3,2,27,5,3,1,0,87,0
train,77064,1,22,2,1,3,1,40,2,4,1,0,47,0
train,64062,3,28,2,1,1,1,33,4,4,1,0,75,0
train,47123,1,7,2,2,1,1,40,5,3,0,0,47,0
train,56275,1,1,3,1,3,1,42,5,5,1,0,51,0
train,58304,1,28,2,1,1,1,33,5,6,1,0,51,1
train,25014,3,15,2,1,3,1,34,3,10,0,0,80,0
train,40097,2,2,2,2,3,2,23,4,2,1,0,57,0
train,23560,8,2,2,1,1,1,59,4,26,1,0,52,0
train,17423,1,2,NA,1,3,3,24,2,2,0,0,48,0
train,61758,4,2,2,1,3,1,44,5,12,0,0,88,0
train,75009,6,17,2,2,1,1,50,5,11,0,0,71,0
train,17876,6,13,3,2,3,1,37,4,4,0,0,71,0
train,36924,3,16,2,1,1,1,40,3,11,0,0,80,0
train,50408,1,20,2,1,1,1,30,3,3,1,0,49,0
train,18013,6,2,3,2,1,1,56,3,12,0,0,73,0
train,24104,7,2,2,1,1,1,20,4,2,1,0,60,0
train,32083,1,25,2,2,1,1,31,3,8,0,0,48,0
train,38330,6,15,2,1,1,1,40,3,12,1,0,65,0
train,33690,8,22,2,1,3,1,30,1,6,0,0,50,0
train,73161,2,22,2,1,3,1,39,3,5,1,0,62,0
train,13596,4,31,2,1,3,2,26,2,2,0,0,85,0
train,45709,1,31,2,2,3,1,29,NA,1,0,0,49,0
train,32709,5,22,3,1,1,1,40,3,5,1,0,84,0
train,26599,1,16,2,1,3,2,27,NA,1,1,0,47,0
train,32656,1,19,2,1,3,1,40,4,7,0,0,52,0
train,17673,1,4,3,1,3,1,50,4,17,1,0,47,1
train,3113,1,29,2,1,1,1,25,3,3,0,0,53,0
train,9150,4,22,2,2,3,1,28,NA,1,1,0,80,0
train,14107,1,1,3,1,1,1,35,4,2,1,0,52,0
train,58747,5,26,2,1,3,1,34,5,5,0,0,87,0
train,3342,2,13,3,2,1,1,31,3,3,1,0,58,0
train,77981,7,22,2,1,3,1,27,NA,1,1,1,58,1
train,16502,1,22,2,1,1,1,27,NA,1,0,0,61,1
train,73729,6,10,2,1,3,1,30,4,6,1,0,75,0
train,45624,4,31,2,1,3,1,30,3,7,1,0,84,1
train,75677,2,22,2,2,3,1,50,5,5,1,0,59,0
train,24040,3,22,3,1,3,1,34,5,7,1,0,78,1
train,68082,1,2,3,2,1,1,41,1,12,0,0,52,0
train,51786,1,16,2,1,1,1,32,4,6,0,0,44,0
train,77577,1,7,2,1,3,1,50,3,14,0,0,52,0
train,54782,1,2,3,1,1,1,38,4,2,1,0,49,1
train,52368,1,27,2,1,1,2,29,1,5,0,0,51,0
train,75103,1,30,2,1,1,1,35,4,3,1,0,53,0
train,7520,4,2,2,1,3,1,25,3,2,1,0,91,0
train,59147,1,22,2,1,1,1,30,3,3,0,0,58,1
train,53092,3,2,2,1,2,1,47,3,7,0,0,79,0
train,34564,2,4,3,1,1,1,35,2,7,0,0,53,0
train,66013,1,2,NA,1,1,2,25,3,2,0,0,53,0
train,77135,5,22,2,1,3,1,36,4,8,0,0,82,0
train,44575,9,7,2,1,3,1,29,NA,1,0,0,65,1
train,47498,2,11,3,2,1,1,42,5,11,1,0,60,1
train,20798,8,20,2,2,1,1,28,2,6,0,0,52,0
train,69094,1,2,NA,1,1,1,39,1,9,0,0,49,0
train,22261,6,7,3,1,1,1,32,5,3,1,0,69,1
train,9589,1,31,2,2,3,1,31,NA,1,0,0,51,0
train,62658,1,2,NA,2,1,1,20,NA,1,0,0,55,0
train,21628,4,12,2,1,3,1,34,3,8,0,0,85,0
train,68484,6,2,3,1,1,2,46,4,3,1,0,74,0
train,44523,8,2,3,1,3,1,47,3,7,0,0,44,0
train,35420,2,2,2,2,3,1,44,4,13,0,0,53,0
train,43923,4,14,2,1,1,1,31,4,4,1,0,86,0
train,64109,3,26,2,2,1,1,23,NA,1,0,0,77,0
train,41983,2,2,2,2,1,1,33,3,5,0,0,57,0
train,21440,1,31,2,1,3,1,41,3,12,1,0,52,0
train,51256,7,2,3,1,3,1,60,5,17,0,0,59,0
train,66635,2,15,2,1,3,1,31,5,4,1,0,63,1
train,16027,2,26,2,2,3,1,37,3,11,0,0,57,0
train,46020,4,7,2,1,1,2,39,3,4,1,0,83,0
train,28509,1,7,2,1,3,1,40,5,8,1,0,54,0
train,33587,1,28,3,1,1,1,42,5,4,0,0,50,0
train,21387,2,13,2,1,3,1,35,4,6,1,0,57,1
train,55927,2,13,3,2,1,1,41,4,6,1,0,62,0
train,60763,6,2,2,2,3,1,23,3,2,0,0,73,0
train,53167,1,16,2,1,1,2,31,3,4,0,0,50,0
train,32672,4,22,3,1,3,1,42,2,19,0,0,79,0
train,48785,1,22,2,1,3,3,29,4,2,0,0,49,0
train,51444,8,13,2,2,3,1,30,NA,1,1,0,54,0
train,75778,2,2,2,1,1,1,41,4,6,1,0,63,0
train,14141,1,7,2,2,3,1,40,3,2,1,0,90,1
train,17894,1,2,2,1,2,1,34,5,5,0,0,49,0
train,54380,1,4,2,2,3,1,31,4,2,0,0,46,0
train,51892,3,2,2,1,3,1,27,5,2,0,0,86,1
train,3625,6,21,2,1,1,4,30,3,2,0,0,72,0
train,38771,6,23,2,2,3,1,27,4,4,1,0,72,1
train,18959,3,15,2,1,3,4,36,4,7,0,0,82,0
train,21137,3,2,2,1,1,1,35,4,6,0,0,77,0
train,26097,1,25,3,1,3,1,34,5,7,1,0,51,1
train,38052,6,34,3,1,1,1,37,5,3,0,1,92,1
train,41746,2,22,2,2,1,1,27,NA,1,1,0,58,0
train,72744,6,2,3,1,1,2,47,3,5,1,0,71,0
train,5461,4,8,2,1,3,1,28,NA,1,1,0,83,0
train,15227,6,27,3,2,3,1,40,5,5,0,0,68,0
train,66874,1,27,2,2,3,1,30,NA,1,0,0,50,0
train,42068,2,1,3,1,3,1,38,5,9,1,0,61,0
train,54825,1,25,2,1,3,1,30,3,2,0,0,47,0
train,77709,1,11,2,2,1,1,28,5,3,0,0,46,0
train,43712,6,22,2,1,1,2,28,5,4,1,0,67,0
train,74783,2,29,2,1,1,1,35,4,7,0,0,58,0
train,19318,4,22,2,1,3,1,32,3,8,0,0,89,1
train,12096,1,26,3,1,1,1,36,5,8,0,0,50,0
train,5102,2,7,2,1,1,1,24,NA,1,1,0,56,0
train,29521,3,15,2,1,3,1,27,3,4,1,0,78,0
train,36371,7,28,3,1,3,2,34,3,7,0,0,56,0
train,51164,3,14,2,2,3,1,31,4,4,1,1,78,0
train,17812,3,27,2,2,1,1,30,4,2,0,0,77,0
train,7606,3,29,2,2,3,2,30,3,7,1,1,76,0
train,50593,7,23,2,1,1,1,31,NA,1,1,0,56,0
train,73735,4,25,2,1,3,1,30,5,3,1,0,84,0
train,29313,7,22,2,1,1,1,28,3,2,0,0,57,0
train,40262,3,2,2,1,3,2,28,3,5,0,0,81,0
train,36904,1,15,2,1,3,1,29,3,2,0,0,51,0
train,62552,1,22,3,1,1,1,46,3,11,1,0,51,0
train,63285,3,29,2,1,1,1,31,5,4,1,0,80,0
train,74203,6,5,2,1,1,1,28,1,4,0,0,72,0
train,75344,1,4,3,1,3,1,31,4,6,0,0,50,0
train,74018,8,7,3,2,3,1,37,3,9,0,0,48,0
train,34985,3,5,2,2,3,2,34,5,8,0,0,88,1
train,35930,6,2,2,1,1,1,25,5,3,1,0,70,1
train,6708,2,22,3,1,1,1,40,4,4,1,0,57,0
train,5515,2,13,3,1,3,1,43,3,7,1,0,56,1
train,53373,2,13,2,1,3,1,36,1,5,0,0,56,0
train,69316,9,29,2,1,1,1,29,3,3,0,0,63,0
train,41009,7,13,2,1,1,2,35,3,2,0,0,56,0
train,50622,4,25,3,1,3,1,34,5,2,0,0,84,0
train,30106,1,16,2,2,1,1,32,4,4,1,0,45,0
train,45157,8,4,2,1,3,1,27,NA,1,1,0,50,0
train,23523,3,26,2,1,1,1,29,3,5,0,0,75,0
train,74349,1,5,2,1,1,1,34,1,4,0,0,48,0
train,70543,6,2,3,1,1,1,37,5,7,1,0,70,0
train,42245,6,22,2,2,3,1,33,3,3,1,0,73,0
train,34405,6,2,3,2,3,1,33,5,4,1,0,67,0
train,4134,1,16,2,2,3,1,39,1,8,0,0,45,0
train,23599,3,23,3,1,3,1,34,4,7,0,0,82,0
train,942,3,22,2,1,3,2,32,4,6,0,0,84,0
train,5281,1,7,3,1,3,1,34,4,6,0,0,53,0
train,197,7,12,2,1,3,1,29,5,6,1,0,61,0
train,37574,1,2,2,1,1,2,28,1,2,0,0,50,0
train,26773,3,7,2,2,3,1,28,2,5,0,0,75,0
train,70034,6,2,3,2,3,2,35,3,9,0,0,70,0
train,40565,3,2,2,2,3,2,40,3,3,0,0,86,0
train,17193,1,2,2,2,3,2,27,2,4,0,0,54,0
train,76550,6,22,2,2,3,3,26,3,3,1,0,70,0
train,53841,2,2,2,1,1,1,43,2,12,0,0,57,0
train,28314,7,26,2,1,3,1,23,NA,1,0,0,61,0
train,30196,4,25,2,1,1,1,29,5,6,1,0,84,0
train,29757,1,14,2,1,1,1,43,3,15,0,0,51,0
train,6073,1,2,2,1,1,3,27,4,4,0,0,49,0
train,9863,6,27,2,1,1,1,26,4,4,1,0,70,0
train,34306,6,13,2,2,3,1,31,5,5,1,0,72,0
train,34041,2,7,2,1,3,1,40,4,11,0,0,58,0
train,21356,2,15,2,2,3,2,39,5,12,1,0,55,0
train,29540,2,2,2,2,3,2,30,3,6,0,0,57,0
train,51669,3,2,3,1,3,1,47,4,4,1,0,77,0
train,33825,1,17,2,1,3,1,34,4,7,1,0,48,1
train,6254,2,2,NA,2,3,1,33,4,9,0,0,64,0
train,11645,1,23,3,1,3,1,41,5,7,0,0,51,0
train,3231,3,7,2,1,3,1,29,1,4,0,0,80,0
train,7030,4,31,2,2,3,1,32,3,4,0,0,86,0
train,54198,6,7,3,2,3,1,47,5,9,0,0,68,0
train,62293,2,27,2,1,3,1,35,4,3,0,0,65,0
train,25312,3,22,2,1,3,1,27,4,2,0,0,75,0
train,75610,4,32,2,1,3,1,29,1,3,0,0,81,0
train,16518,1,20,2,1,1,2,36,3,9,0,0,49,0
train,42747,1,15,2,1,3,2,35,1,8,0,0,39,0
train,67980,6,2,2,2,1,2,34,3,2,0,0,70,0
train,53630,1,23,3,2,1,1,34,4,5,1,1,94,1
train,72423,2,2,3,1,1,1,39,3,2,1,0,60,0
train,73022,1,25,2,1,3,1,26,5,2,1,0,51,0
train,63976,2,31,2,2,1,1,30,5,4,0,0,56,0
train,60761,2,16,NA,2,3,1,31,4,2,0,0,62,0
train,57228,8,2,3,1,1,1,44,5,6,0,0,48,0
train,14912,1,1,2,1,3,1,38,3,4,1,0,49,0
train,22725,3,26,2,1,3,1,40,1,3,0,0,78,0
train,18981,9,2,3,1,1,1,50,5,6,0,1,58,0
train,50845,6,19,3,1,3,1,44,3,12,0,0,70,0
train,11800,6,2,1,2,3,1,23,1,2,0,0,69,0
train,16351,1,7,3,2,1,1,36,1,2,0,0,53,0
train,75881,4,27,2,1,1,1,25,1,4,0,0,80,0
train,73200,2,28,2,1,1,1,34,5,4,1,0,58,0
train,17833,4,4,2,1,1,1,28,NA,1,0,0,85,0
train,58338,4,1,2,1,3,2,30,5,6,1,0,81,0
train,40187,6,12,2,1,1,1,35,1,8,0,0,67,0
train,70193,4,6,2,1,1,1,33,4,8,0,0,86,0
train,27188,4,13,3,1,3,1,30,3,4,1,0,80,0
train,24291,4,26,2,1,3,2,27,5,3,1,0,85,0
train,43676,6,2,2,1,3,4,29,NA,1,0,0,68,0
train,52231,2,2,2,1,1,1,43,3,3,0,0,58,0
train,34241,4,22,2,1,3,2,28,3,5,1,0,86,0
train,76661,6,17,2,1,3,1,31,5,3,1,0,68,0
train,50595,2,2,2,2,3,1,43,4,12,0,0,58,0
train,67673,2,4,2,2,3,1,35,5,9,1,0,60,0
train,10547,1,5,2,1,3,2,35,3,9,0,0,49,0
train,73405,2,2,3,1,3,1,50,3,8,1,0,59,0
train,73114,8,17,2,2,3,1,26,4,3,0,0,50,0
train,22572,1,27,2,1,1,1,32,3,5,1,0,52,0
train,62923,2,13,3,2,3,1,38,5,2,1,1,93,1
train,57235,1,26,NA,1,3,1,22,4,2,0,0,51,0
train,22300,8,20,2,1,3,1,28,NA,1,1,0,52,0
train,24090,6,14,2,2,1,1,37,3,9,0,0,69,0
train,57298,4,2,2,1,1,2,54,3,9,1,0,86,0
train,25629,1,11,2,1,1,1,36,3,8,0,0,51,0
train,71339,3,6,2,1,3,1,35,3,8,0,0,78,0
train,54714,4,29,2,1,3,1,39,3,4,1,0,85,0
train,7390,2,12,2,2,1,1,31,5,4,1,0,63,0
train,9563,2,31,2,1,3,2,38,3,7,1,1,60,0
train,39107,1,22,2,1,1,1,28,1,2,0,0,48,0
train,19445,1,7,2,1,1,3,26,2,3,0,0,52,0
train,42636,1,26,2,1,1,1,29,NA,1,0,0,54,0
train,32557,4,20,2,1,1,1,30,3,4,0,0,84,0
train,43396,2,22,2,1,1,2,37,2,4,1,0,57,1
train,24414,5,2,NA,1,3,1,25,NA,1,1,0,76,0
train,63237,3,22,2,1,2,1,26,4,2,0,0,82,0
train,32838,3,7,2,1,3,1,31,4,4,0,0,78,0
train,23003,3,14,2,2,3,1,38,5,7,1,0,82,0
train,45198,1,13,2,1,3,1,39,4,9,0,0,49,0
train,40376,1,4,2,1,3,1,30,5,4,0,1,50,0
train,60176,6,15,3,2,3,1,34,5,8,1,0,67,0
train,67652,6,23,3,2,3,1,33,3,5,1,0,72,0
train,15476,3,2,2,2,3,1,29,5,3,1,0,78,0
train,55811,2,2,2,1,1,1,28,4,2,1,0,61,0
train,15737,7,22,2,1,1,1,24,NA,1,0,0,56,0
train,10058,4,22,2,1,3,2,26,4,2,1,0,87,0
train,73435,9,22,2,1,1,1,34,5,4,0,0,64,0
train,51255,1,27,2,1,1,1,35,3,7,0,0,46,0
train,70060,3,13,3,1,3,1,43,3,14,0,0,79,0
train,51473,1,15,2,1,3,1,34,1,8,0,0,39,0
train,71904,3,7,3,2,3,2,38,3,10,0,0,88,0
train,76080,2,7,2,2,3,1,34,1,5,0,0,54,0
train,33357,2,22,2,1,1,1,41,4,4,0,0,63,0
train,53502,7,7,2,1,1,2,29,1,4,0,0,61,0
train,26409,2,2,2,1,3,1,33,4,3,0,0,61,0
train,59608,1,2,3,2,3,1,41,4,5,1,0,48,0
train,28687,2,2,3,1,3,3,38,3,11,0,0,57,0
train,34312,6,2,3,2,3,2,54,4,23,0,0,66,0
train,11438,1,13,3,2,1,2,34,2,8,0,0,49,0
train,11794,5,2,2,1,3,2,26,5,3,1,0,87,0
train,48756,2,7,2,2,1,1,35,5,3,0,0,59,0
train,35873,9,2,1,1,3,1,28,NA,1,0,0,62,0
train,13970,2,33,3,1,3,1,36,3,4,0,0,60,0
train,49868,3,5,2,1,3,1,45,3,15,0,0,87,0
train,25261,6,7,3,1,3,1,38,4,7,0,0,66,0
train,44536,1,27,2,2,3,1,26,2,4,0,0,47,0
train,55550,4,27,NA,1,1,1,31,3,4,0,0,85,0
train,27989,4,34,2,1,1,1,32,3,7,0,0,87,0
train,12598,4,6,2,1,1,1,29,4,4,0,0,78,0
train,32877,1,2,2,2,3,1,40,3,12,0,0,50,0
train,30682,3,2,2,1,2,2,29,4,6,0,0,75,0
train,1829,4,28,2,1,3,2,31,5,7,1,0,87,0
train,2177,7,16,2,1,3,1,32,5,6,1,0,58,0
train,51771,2,17,2,1,3,1,42,5,11,0,0,67,0
train,26026,6,15,2,2,1,1,30,5,3,1,0,65,0
train,64977,6,16,2,2,3,1,24,3,2,1,0,70,0
train,44585,1,30,2,1,1,1,35,3,7,0,0,56,0
train,43562,3,5,2,2,1,2,32,1,3,0,0,80,0
train,56287,8,2,2,2,1,1,22,3,2,0,0,47,0
train,19100,1,2,2,1,1,2,44,5,14,0,0,48,0
train,58203,2,16,2,1,3,2,39,3,9,0,0,58,0
train,12504,3,7,2,2,3,1,46,4,17,0,0,85,0
train,49126,3,15,2,1,3,1,29,2,5,0,0,77,0
train,66469,7,7,2,1,3,1,26,1,3,0,0,59,0
train,53350,2,23,2,1,3,1,35,4,5,0,0,61,0
train,22031,6,2,2,2,3,1,29,4,2,1,0,95,1
train,36185,3,13,2,1,1,1,30,2,9,0,0,79,0
train,58415,1,7,2,1,3,1,45,4,5,0,0,50,0
train,71763,1,15,2,2,3,1,30,1,6,0,0,47,0
train,62742,7,32,2,1,1,1,28,2,4,0,0,59,0
train,33619,3,2,3,1,1,1,46,5,10,1,0,76,0
train,41212,6,7,2,1,1,1,27,2,2,0,0,69,0
train,40204,1,11,2,1,1,1,34,2,5,0,0,47,0
train,59131,4,19,2,1,1,2,32,5,3,1,0,86,0
train,12559,2,22,2,2,3,1,35,5,10,0,0,63,0
train,30433,6,27,2,1,3,1,36,4,3,1,0,66,0
train,13150,6,2,3,2,3,1,58,1,13,0,0,70,0
train,9616,7,31,2,1,3,1,29,4,4,0,0,57,0
train,26563,6,2,2,2,2,1,33,3,3,1,0,67,0
train,38331,2,16,2,2,3,1,32,5,6,0,0,62,0
train,18651,9,22,1,1,3,1,25,5,2,1,0,59,0
train,45004,6,13,2,1,3,4,41,2,9,0,0,68,0
train,11892,6,12,2,2,3,1,25,NA,1,1,0,69,0
train,16859,4,2,3,1,3,1,50,1,7,0,1,79,0
train,26107,1,26,2,1,3,1,30,1,7,0,0,53,0
train,22511,3,24,2,1,1,1,28,NA,1,0,0,81,0
train,22865,4,20,3,1,3,1,40,5,5,0,1,83,1
train,67467,7,2,1,2,3,1,26,3,2,0,0,61,0
train,2268,3,13,2,1,3,1,35,5,8,1,0,81,0
train,33517,1,7,3,1,3,1,37,3,7,1,0,52,0
train,27605,2,22,3,1,3,1,34,3,3,0,0,75,1
train,69349,2,8,2,1,1,1,25,3,2,0,0,57,0
train,45496,1,2,NA,1,3,1,22,5,2,0,0,62,1
train,66262,6,2,2,2,3,2,26,5,2,1,0,68,1
train,55425,3,2,2,2,3,1,31,4,7,1,0,80,0
train,29543,7,2,2,1,1,4,31,5,3,1,0,60,0
train,36547,4,25,2,1,1,1,32,3,6,1,0,86,0
train,11205,1,19,2,1,1,1,36,5,8,0,0,48,0
train,469,3,2,2,2,1,1,57,3,19,0,0,81,0
train,44703,1,2,2,2,1,1,42,4,9,0,0,51,0
train,14847,1,20,2,1,3,1,28,3,3,0,0,48,0
train,43689,4,12,2,1,1,2,33,4,3,1,0,86,0
train,72157,4,2,2,1,1,1,41,3,3,0,0,86,0
train,74579,2,2,1,1,3,2,26,NA,1,0,0,61,0
train,51544,6,12,2,2,3,1,32,5,5,0,1,84,1
train,5128,2,2,NA,1,3,1,48,3,8,0,0,57,0
train,37952,2,26,3,1,3,1,41,3,7,0,0,58,0
train,39914,3,2,3,1,3,1,31,5,4,1,0,82,0
train,74332,1,26,2,1,3,1,37,4,5,0,0,54,0
train,42886,4,29,2,1,3,1,30,1,4,0,0,84,0
train,53988,7,2,1,1,3,1,26,5,2,1,0,60,0
train,49775,1,13,2,1,1,1,44,5,11,0,0,42,0
train,66965,2,7,2,2,1,1,44,3,10,0,0,60,0
train,70197,5,22,3,1,3,1,30,4,2,1,0,96,1
train,66210,2,22,1,1,3,1,24,3,2,0,0,59,0
train,71008,1,27,2,1,3,1,40,1,10,0,0,49,0
train,52132,3,11,3,1,3,1,32,3,5,0,0,80,0
train,72604,1,2,2,1,1,1,40,5,7,0,0,53,0
train,66802,3,7,1,2,3,2,24,4,3,1,0,78,0
train,55730,1,26,2,1,3,1,45,4,15,0,0,64,1
train,8284,1,2,2,2,3,1,34,5,5,0,0,60,1
train,69715,2,2,NA,2,3,1,58,4,18,1,0,60,0
train,36117,3,24,2,1,1,1,35,3,7,0,0,82,0
train,56139,1,16,NA,1,3,1,24,4,2,0,0,51,0
train,15924,1,23,2,1,3,1,35,2,8,0,0,48,0
train,41776,3,23,2,1,1,1,31,1,2,0,0,81,0
train,25949,2,29,2,1,3,1,33,3,5,0,0,60,0
train,51509,8,2,3,2,1,1,44,3,14,0,0,47,0
train,36936,1,28,NA,1,3,1,24,2,2,1,0,52,1
train,25572,6,2,2,1,3,2,34,2,10,0,0,69,0
train,11337,1,22,2,1,1,1,37,5,2,0,0,54,0
train,34965,2,26,2,1,3,2,31,3,4,0,0,63,0
train,38318,6,19,2,1,3,1,32,3,8,0,0,69,0
train,60969,2,2,2,2,3,1,33,5,7,1,0,57,0
train,72765,2,2,NA,2,1,1,53,3,11,0,0,57,0
train,16951,2,22,2,1,1,2,37,5,4,1,0,57,0
train,54416,1,15,2,1,1,1,30,2,5,0,0,49,0
train,4585,4,15,2,1,1,1,35,5,3,1,0,81,0
train,64140,3,11,2,1,1,1,32,3,4,0,0,80,0
train,35746,2,15,2,1,1,1,45,3,9,0,0,61,0
train,6587,6,13,2,1,3,1,29,NA,1,0,0,69,0
train,1901,1,4,2,1,1,2,31,3,4,0,0,53,0
train,56849,3,15,2,1,1,2,34,3,8,0,0,80,0
train,56233,4,22,2,2,3,1,24,NA,1,1,0,86,0
train,15844,2,3,3,2,3,1,31,5,7,1,0,59,0
train,1497,1,10,3,2,3,1,37,3,6,1,0,47,0
train,11488,1,7,3,1,3,1,42,3,12,0,0,48,0
train,59616,6,4,3,1,3,1,40,3,6,0,0,72,0
train,9002,2,2,2,1,1,1,37,5,5,1,0,64,0
train,63753,2,22,2,1,3,1,50,3,8,0,0,57,0
train,9192,2,21,2,1,3,1,28,NA,1,0,0,61,0
train,30143,8,2,3,2,2,1,57,3,13,0,0,53,0
train,23360,1,28,3,1,3,2,42,2,10,0,0,46,0
train,53301,2,2,3,1,1,1,34,3,8,0,0,61,0
train,29073,2,2,2,2,1,1,34,5,8,1,0,54,0
train,36460,2,13,2,1,3,1,29,NA,1,0,0,62,0
train,3171,2,4,3,2,2,1,32,4,7,1,0,59,0
train,55062,2,7,2,2,1,1,27,5,2,0,0,61,0
train,64798,4,22,2,1,3,3,30,NA,1,1,0,83,0
train,7908,3,33,3,1,3,1,46,3,17,0,0,83,0
train,70048,1,1,3,1,3,1,37,3,10,1,0,49,1
train,63757,1,2,2,2,1,1,48,4,13,0,0,52,0
train,19046,3,2,2,1,3,1,40,5,12,1,0,84,0
train,37427,3,20,2,1,3,1,32,3,6,0,0,73,0
train,58138,1,20,2,1,3,1,33,1,7,0,0,48,0
train,68064,6,23,2,2,3,1,35,3,6,0,0,66,0
train,6711,1,6,NA,1,1,1,23,3,2,0,0,51,0
train,51002,4,15,3,1,3,1,32,3,4,0,0,86,0
train,5132,2,2,2,1,1,4,31,3,6,0,0,59,0
train,15801,2,26,2,2,3,1,40,4,13,0,0,60,0
train,47265,6,2,3,1,3,1,43,2,7,0,0,70,0
train,26798,2,32,3,1,3,1,38,3,6,0,0,60,0
train,72203,1,7,2,1,3,1,36,5,8,0,0,49,0
train,46862,6,7,3,1,3,1,49,5,20,1,0,65,0
train,75629,1,22,2,2,1,1,32,1,4,0,0,50,0
train,10452,4,2,2,1,3,2,26,3,2,0,0,91,0
train,37017,4,7,2,1,1,1,55,3,18,0,0,87,0
train,76427,8,22,3,2,3,1,35,3,5,0,0,50,0
train,46925,2,9,3,2,3,1,36,4,6,1,0,59,0
train,43828,1,30,2,1,3,1,29,5,4,1,0,45,0
train,58383,6,4,2,1,3,1,46,3,19,1,0,72,0
train,20660,5,27,2,1,1,2,30,3,4,0,0,84,0
train,46166,1,2,2,1,3,1,51,5,19,0,0,40,0
train,11123,1,29,3,1,3,1,37,3,7,0,0,54,0
train,67946,4,32,NA,1,3,1,27,3,2,0,0,88,0
train,41763,1,26,NA,1,3,1,43,1,4,0,0,49,0
train,40628,8,32,2,2,3,1,31,3,7,0,0,51,0
train,61482,2,7,3,2,1,2,38,4,9,1,0,65,0
train,63083,1,2,3,2,3,1,43,1,10,0,0,45,0
train,33789,3,7,2,1,1,3,29,3,4,0,0,81,0
train,3540,3,22,3,2,1,1,30,3,2,0,0,79,0
train,51292,8,2,2,2,3,1,49,5,22,1,0,50,0
train,137,4,7,3,1,3,1,49,4,5,0,0,90,0
train,73204,1,7,3,1,1,1,36,2,5,0,0,48,0
train,73753,6,10,3,1,1,1,33,1,3,0,0,71,0
train,49737,1,22,3,1,3,3,52,3,25,0,0,49,0
train,22462,1,32,2,2,3,1,29,NA,1,0,0,53,0
train,36905,2,7,2,1,3,1,37,3,11,0,0,56,0
train,16004,7,22,1,1,3,1,25,3,3,0,0,61,0
train,10002,8,2,1,1,1,1,24,NA,1,1,0,52,0
train,43176,3,7,3,2,2,1,37,4,13,0,0,79,0
train,12538,2,14,2,1,3,1,35,5,10,1,0,59,1
train,56140,3,13,2,2,3,1,33,3,4,1,0,76,1
train,71196,6,2,2,2,1,1,33,5,9,1,0,71,0
train,57893,3,2,2,2,3,1,59,3,28,0,0,78,0
train,5640,4,2,2,1,1,1,29,NA,1,0,0,88,0
train,41208,2,2,2,2,3,1,38,2,8,0,0,59,0
train,55857,2,2,2,1,1,1,48,4,13,0,0,57,0
train,27907,9,11,2,1,3,1,31,3,1,1,0,62,0
train,5933,3,5,3,2,1,1,32,1,5,0,0,77,0
train,44678,6,22,2,1,3,3,24,3,2,0,0,63,0
train,48266,3,7,3,1,1,2,37,5,5,1,0,77,0
train,46639,1,7,2,2,1,1,32,5,8,1,0,46,1
train,21523,1,4,2,1,3,1,31,3,2,0,0,48,0
